age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,education
73,Private,147551,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,United-States,>50K,Some-college
60,?,141221,13,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,2163,25,South,<=50K,Bachelors
68,Self-emp-not-inc,116903,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2149,40,United-States,<=50K,Assoc-voc
74,Self-emp-not-inc,119129,9,Married-civ-spouse,Sales,Husband,White,Male,0,2149,20,United-States,<=50K,HS-grad
43,Private,143582,3,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,2129,72,?,<=50K,5th-6th
19,Self-emp-not-inc,342384,7,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,2129,55,United-States,<=50K,11th
37,Self-emp-not-inc,68899,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2129,40,United-States,<=50K,HS-grad
45,Federal-gov,207107,12,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0,2080,40,Philippines,<=50K,Assoc-acdm
64,Private,149044,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2057,60,China,<=50K,Masters
30,Private,148524,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2057,40,United-States,<=50K,HS-grad
51,Self-emp-not-inc,268639,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2057,60,Canada,<=50K,Some-college
35,Private,272019,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2057,40,United-States,<=50K,11th
29,Private,239753,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,20,United-States,<=50K,HS-grad
34,Private,199864,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,40,United-States,<=50K,Some-college
41,Private,125831,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,60,United-States,<=50K,HS-grad
35,Private,67728,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,45,United-States,<=50K,Some-college
26,Private,115717,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,United-States,<=50K,Some-college
54,Private,172281,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,50,United-States,<=50K,HS-grad
52,Local-gov,305053,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K,HS-grad
50,Self-emp-not-inc,105010,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2051,20,United-States,<=50K,HS-grad
31,Private,291052,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,United-States,<=50K,Some-college
38,Federal-gov,248919,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,40,United-States,<=50K,HS-grad
30,Private,84119,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K,Some-college
34,Local-gov,105540,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2051,40,United-States,<=50K,Bachelors
31,Private,161765,10,Married-civ-spouse,Sales,Husband,White,Male,0,2051,57,United-States,<=50K,Some-college
52,Private,195635,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2051,38,United-States,<=50K,HS-grad
54,Private,816750,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K,HS-grad
38,Private,160192,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,44,United-States,<=50K,HS-grad
39,Private,136081,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2051,40,United-States,<=50K,HS-grad
29,Private,244473,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,2051,40,United-States,<=50K,Assoc-voc
45,Private,187033,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K,HS-grad
34,Private,265807,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,55,United-States,<=50K,HS-grad
38,Private,154410,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,Poland,<=50K,HS-grad
39,Private,314007,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K,10th
61,Private,179743,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,20,United-States,<=50K,HS-grad
43,Private,117037,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K,11th
35,Private,40135,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2042,40,United-States,<=50K,Some-college
46,Private,315423,10,Married-civ-spouse,Sales,Husband,White,Male,0,2042,50,United-States,<=50K,Some-college
38,Private,35429,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2042,40,United-States,<=50K,HS-grad
42,Self-emp-not-inc,120837,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2042,48,United-States,<=50K,HS-grad
34,Private,90614,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,2042,10,United-States,<=50K,Assoc-acdm
29,Private,202878,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2042,40,United-States,<=50K,7th-8th
32,Private,260954,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2042,30,United-States,<=50K,11th
60,Private,127084,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,2042,34,United-States,<=50K,HS-grad
49,Local-gov,107231,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States,<=50K,HS-grad
53,Local-gov,135102,9,Married-civ-spouse,Other-service,Husband,White,Male,0,2002,45,United-States,<=50K,HS-grad
56,Private,201822,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2002,40,United-States,<=50K,7th-8th
48,Private,413363,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,40,United-States,<=50K,11th
32,Federal-gov,148138,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2002,40,Iran,<=50K,Bachelors
42,Self-emp-not-inc,170721,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States,<=50K,HS-grad
32,Private,102858,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2002,42,United-States,<=50K,Assoc-acdm
28,Local-gov,175262,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,2002,40,England,<=50K,Assoc-acdm
26,Private,36936,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States,<=50K,Assoc-voc
59,Private,169982,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2002,50,United-States,<=50K,Bachelors
47,Self-emp-not-inc,208407,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2002,30,United-States,<=50K,Bachelors
26,?,131777,13,Married-civ-spouse,?,Husband,White,Male,0,2002,40,United-States,<=50K,Bachelors
41,Private,41090,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,60,United-States,<=50K,HS-grad
36,Private,183739,9,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,2002,40,United-States,<=50K,HS-grad
45,Private,357540,13,Married-civ-spouse,Sales,Husband,White,Male,0,2002,55,United-States,<=50K,Bachelors
30,Private,48520,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2002,40,United-States,<=50K,Assoc-acdm
36,Private,107916,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,40,United-States,<=50K,HS-grad
34,Self-emp-inc,198613,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2002,40,United-States,<=50K,HS-grad
53,Private,283743,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,40,United-States,<=50K,HS-grad
51,Private,210940,9,Married-civ-spouse,Sales,Husband,White,Male,0,2002,45,United-States,<=50K,HS-grad
47,Self-emp-not-inc,355978,16,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,45,United-States,<=50K,Doctorate
19,?,241616,9,Never-married,?,Unmarried,White,Male,0,2001,40,United-States,<=50K,HS-grad
30,Private,57651,9,Never-married,Adm-clerical,Unmarried,White,Male,0,2001,42,United-States,<=50K,HS-grad
20,Private,315877,9,Never-married,Other-service,Unmarried,White,Male,0,2001,40,United-States,<=50K,HS-grad
42,Federal-gov,74680,14,Divorced,Adm-clerical,Not-in-family,White,Male,0,2001,60,United-States,<=50K,Masters
31,Private,454508,7,Never-married,Craft-repair,Not-in-family,White,Male,0,2001,40,United-States,<=50K,11th
33,Private,202046,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,2001,40,United-States,<=50K,Bachelors
25,Private,121102,12,Never-married,Tech-support,Not-in-family,White,Female,0,2001,30,United-States,<=50K,Assoc-acdm
20,Private,146879,9,Never-married,Other-service,Not-in-family,White,Male,0,2001,40,United-States,<=50K,HS-grad
23,Private,213955,9,Never-married,Adm-clerical,Own-child,Black,Male,0,2001,40,United-States,<=50K,HS-grad
55,?,123382,9,Separated,?,Not-in-family,Black,Female,0,2001,40,United-States,<=50K,HS-grad
41,Self-emp-not-inc,277783,10,Divorced,Craft-repair,Not-in-family,White,Male,0,2001,50,United-States,<=50K,Some-college
54,Self-emp-not-inc,199741,9,Widowed,Craft-repair,Not-in-family,White,Male,0,2001,35,United-States,<=50K,HS-grad
25,Private,378322,9,Never-married,Craft-repair,Not-in-family,White,Male,0,2001,50,United-States,<=50K,HS-grad
19,Private,264390,10,Never-married,Adm-clerical,Own-child,White,Female,0,2001,40,United-States,<=50K,Some-college
24,Private,210029,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,2001,37,United-States,<=50K,HS-grad
56,Federal-gov,61885,13,Never-married,Transport-moving,Not-in-family,Black,Male,0,2001,65,United-States,<=50K,Bachelors
21,Local-gov,102942,10,Never-married,Other-service,Not-in-family,White,Female,0,2001,40,United-States,<=50K,Some-college
34,Private,209297,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,2001,40,United-States,<=50K,HS-grad
19,Private,198459,9,Never-married,Adm-clerical,Own-child,White,Male,0,2001,40,United-States,<=50K,HS-grad
21,?,40052,10,Never-married,?,Not-in-family,White,Male,0,2001,45,United-States,<=50K,Some-college
48,Private,93476,9,Separated,Adm-clerical,Not-in-family,White,Female,0,2001,40,United-States,<=50K,HS-grad
34,Private,174789,13,Never-married,Other-service,Not-in-family,White,Male,0,2001,40,United-States,<=50K,Bachelors
31,Private,189759,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,2001,40,United-States,<=50K,HS-grad
36,Private,297847,9,Never-married,Other-service,Not-in-family,Black,Female,0,2001,40,United-States,<=50K,HS-grad
27,Private,124953,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K,HS-grad
27,Private,116358,10,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,1980,40,Philippines,<=50K,Some-college
35,Private,187119,13,Divorced,Sales,Not-in-family,White,Female,0,1980,65,United-States,<=50K,Bachelors
31,Self-emp-not-inc,161745,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,1980,60,United-States,<=50K,Bachelors
27,Federal-gov,469705,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,1980,40,United-States,<=50K,HS-grad
28,Local-gov,304960,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,1980,40,United-States,<=50K,Assoc-acdm
42,Private,175935,9,Divorced,Transport-moving,Not-in-family,White,Male,0,1980,46,United-States,<=50K,HS-grad
44,Private,355728,10,Separated,Exec-managerial,Not-in-family,White,Male,0,1980,45,England,<=50K,Some-college
41,Private,53956,13,Divorced,Sales,Not-in-family,White,Male,0,1980,56,United-States,<=50K,Bachelors
28,Private,184723,13,Never-married,Tech-support,Not-in-family,White,Female,0,1980,35,United-States,<=50K,Bachelors
41,Federal-gov,185616,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,1980,40,United-States,<=50K,HS-grad
35,Private,54595,6,Widowed,Other-service,Not-in-family,Black,Female,0,1980,40,United-States,<=50K,10th
58,Private,126104,14,Divorced,Adm-clerical,Not-in-family,White,Female,0,1980,45,United-States,<=50K,Masters
40,Private,139193,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,1980,48,United-States,<=50K,HS-grad
31,Private,184306,11,Never-married,Transport-moving,Own-child,White,Male,0,1980,60,United-States,<=50K,Assoc-voc
30,Private,207301,9,Never-married,Sales,Not-in-family,White,Female,0,1980,40,United-States,<=50K,HS-grad
32,Private,199529,10,Separated,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,1980,40,United-States,<=50K,Some-college
25,Private,111058,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,1980,40,United-States,<=50K,Some-college
34,Private,198103,9,Never-married,Transport-moving,Own-child,White,Male,0,1980,40,United-States,<=50K,HS-grad
56,Private,34626,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,1980,40,United-States,<=50K,Some-college
45,Private,100651,9,Divorced,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K,HS-grad
50,Private,104501,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,1980,40,United-States,<=50K,HS-grad
27,Private,132805,6,Never-married,Sales,Other-relative,White,Male,0,1980,40,United-States,<=50K,10th
51,Private,96062,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K,Some-college
40,Private,207578,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,United-States,>50K,Assoc-acdm
41,Private,445382,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,65,United-States,>50K,Masters
49,Private,192776,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,>50K,Masters
37,Private,22463,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,40,United-States,>50K,Assoc-voc
36,Self-emp-inc,108293,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,45,United-States,>50K,Bachelors
35,Private,199352,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,80,United-States,>50K,Prof-school
29,Self-emp-inc,260729,9,Married-civ-spouse,Sales,Wife,White,Female,0,1977,25,United-States,>50K,HS-grad
50,Private,133963,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,40,United-States,>50K,Bachelors
46,Private,129007,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K,Bachelors
44,Self-emp-not-inc,179557,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,>50K,HS-grad
42,Local-gov,111252,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,Masters
38,Federal-gov,338320,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,Prof-school
45,Private,192835,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,United-States,>50K,Bachelors
43,Local-gov,147328,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,>50K,Masters
47,Self-emp-inc,139268,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K,Prof-school
58,Self-emp-inc,349910,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,Prof-school
48,Private,331482,15,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,United-States,>50K,Prof-school
42,Local-gov,245307,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,48,United-States,>50K,Bachelors
55,Private,153484,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,>50K,Masters
51,Private,252903,6,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K,10th
32,Private,295589,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,40,United-States,>50K,Masters
45,Local-gov,160472,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,>50K,Bachelors
56,Private,192869,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,44,United-States,>50K,Masters
38,Private,234901,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,>50K,Masters
45,Private,33300,11,Married-civ-spouse,Sales,Husband,White,Male,0,1977,50,United-States,>50K,Assoc-voc
49,Private,101825,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,40,United-States,>50K,Masters
36,Private,183612,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K,HS-grad
49,Private,185041,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,Masters
30,Private,315640,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,40,China,>50K,Doctorate
42,Self-emp-inc,123838,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,Prof-school
55,Private,31905,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,Masters
34,Private,181091,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,>50K,Bachelors
54,Private,88278,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,Doctorate
42,Self-emp-not-inc,323790,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,70,United-States,>50K,Bachelors
25,Local-gov,90730,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K,Bachelors
55,Self-emp-inc,138594,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,>50K,HS-grad
58,State-gov,194068,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,Masters
62,Private,218009,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1977,60,United-States,>50K,HS-grad
43,Self-emp-inc,221172,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K,Prof-school
57,Local-gov,174132,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,1977,40,United-States,>50K,Masters
42,Self-emp-inc,277256,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K,Doctorate
63,Self-emp-not-inc,35021,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,32,China,>50K,Bachelors
47,Self-emp-not-inc,213668,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,Prof-school
37,Private,99146,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,>50K,Bachelors
40,Private,209547,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,60,United-States,>50K,Bachelors
43,Private,118308,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,Bachelors
43,State-gov,33331,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,70,United-States,>50K,Prof-school
41,Self-emp-not-inc,200574,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K,Prof-school
32,Private,204374,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K,Prof-school
47,Private,189680,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K,Bachelors
39,Federal-gov,175232,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1977,60,United-States,>50K,Some-college
53,Private,193720,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,Some-college
34,Private,189759,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,>50K,Bachelors
36,Private,32776,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,Bachelors
47,Local-gov,285060,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,41,United-States,>50K,Masters
52,Private,23780,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,>50K,Assoc-voc
40,Self-emp-not-inc,284706,15,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,1977,60,United-States,>50K,Prof-school
42,Self-emp-inc,130126,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K,Bachelors
51,Private,102615,14,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1977,40,United-States,>50K,Masters
55,Private,208311,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,20,United-States,>50K,Masters
38,Private,111499,9,Married-civ-spouse,Sales,Husband,White,Male,0,1977,99,United-States,>50K,HS-grad
52,Private,139671,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,>50K,Some-college
60,Federal-gov,165630,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,United-States,>50K,HS-grad
55,Private,124808,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,Germany,>50K,Assoc-voc
47,Local-gov,29819,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,50,United-States,>50K,Masters
46,Private,102771,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,United-States,>50K,Masters
35,Private,86648,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,>50K,Masters
59,Self-emp-inc,223215,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,>50K,Bachelors
57,Private,437727,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,>50K,Masters
46,Private,167515,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,Some-college
46,Federal-gov,213140,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,Masters
52,Private,168553,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,40,United-States,>50K,HS-grad
45,Private,363677,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,30,United-States,>50K,Doctorate
37,Private,241998,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,United-States,>50K,Bachelors
46,Private,337050,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,>50K,Masters
44,Private,157249,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,1977,50,United-States,>50K,Bachelors
45,Private,84298,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,>50K,Assoc-voc
43,Private,55213,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1977,52,United-States,>50K,HS-grad
54,Local-gov,185846,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K,Masters
50,Private,150999,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K,Masters
51,Private,199688,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,?,>50K,Bachelors
45,Private,225456,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K,Bachelors
36,Private,192939,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K,Masters
27,Private,183627,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,>50K,Bachelors
36,Private,189404,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,35,United-States,>50K,Bachelors
53,Private,152810,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,United-States,>50K,Masters
51,Local-gov,123011,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,35,United-States,>50K,Masters
28,Private,114158,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,24,United-States,>50K,Bachelors
47,Self-emp-not-inc,228660,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,40,United-States,>50K,Some-college
45,Private,233511,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,>50K,Bachelors
45,Local-gov,159816,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,35,United-States,>50K,Masters
39,Self-emp-not-inc,202027,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,Prof-school
39,Private,218490,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,Bachelors
55,Self-emp-not-inc,248841,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K,Masters
62,Private,71751,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,98,United-States,>50K,Some-college
49,Private,137192,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,1977,50,South,>50K,Bachelors
53,Self-emp-not-inc,100109,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,Masters
31,Private,183043,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,48,United-States,>50K,Masters
42,Self-emp-inc,188738,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,Italy,>50K,HS-grad
39,Private,201410,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1977,45,Philippines,>50K,Bachelors
60,Self-emp-not-inc,282066,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,>50K,Bachelors
26,Private,291968,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K,Prof-school
37,Private,126569,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,Masters
45,State-gov,103406,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,>50K,Bachelors
37,Private,109133,12,Married-civ-spouse,Sales,Husband,White,Male,0,1977,45,United-States,>50K,Assoc-acdm
32,Private,195602,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,45,United-States,>50K,Bachelors
39,Self-emp-inc,135500,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,HS-grad
58,Self-emp-not-inc,147653,6,Married-civ-spouse,Craft-repair,Wife,White,Female,0,1977,35,?,>50K,10th
45,Private,145636,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,43,United-States,>50K,Masters
41,Private,137126,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,>50K,Bachelors
36,Self-emp-not-inc,36270,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1977,65,United-States,>50K,HS-grad
51,State-gov,285747,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K,Masters
39,Private,80324,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,62,United-States,>50K,Some-college
56,Self-emp-not-inc,94156,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,Prof-school
53,Federal-gov,271544,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,1977,40,United-States,>50K,HS-grad
40,Self-emp-not-inc,175943,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,15,United-States,>50K,Assoc-voc
57,Private,141570,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,40,United-States,>50K,Masters
50,Local-gov,124963,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,35,United-States,>50K,HS-grad
34,Private,112115,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,55,United-States,>50K,Prof-school
35,Private,99357,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,30,United-States,>50K,Bachelors
30,Self-emp-not-inc,404062,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,15,United-States,>50K,HS-grad
53,Local-gov,200190,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,55,United-States,>50K,Masters
